IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_00216,"Inaug Intro, 1",,"Duderstadt, James J.",,2015,1988-10-04,,jjd884.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00217,"Inaug Luncheon, 1",,"Duderstadt, James J.",,2015,1988-10-05,,jjd885.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00218,"Inaug Stu Picnic, 1",,"Duderstadt, James J.",,2015,1988-10-05,,jjd886.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00219,Inauguration 1.2,,"Duderstadt, James J.",,2015,1988-09-16,,jjd887.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00220,Inauguration 1.2,,"Duderstadt, James J.",,2015,1988-09-16,,jjd888.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00221,"Inauguration 1.9S, 1",,"Duderstadt, James J.",,2015,1988-10-05,,jjd889.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00222,"Inauguration Remarks List, 1",,"Duderstadt, James J.",,2015,1988-10-02,,jjd890.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00223,Investments,,"Duderstadt, James J.",,2015,1988-09-12,,jjd894.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00224,Lead Network 1.1,,"Duderstadt, James J.",,2015,1988-09-22,,jjd897.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00225,"Lead Network 1.2, 1",,"Duderstadt, James J.",,2015,1988-10-16,,jjd898.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00226,"Lead Network 1.3, 1",,"Duderstadt, James J.",,2015,1988-11-27,,jjd899.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00227,"Lead Network Talk 1.3, 1",,"Duderstadt, James J.",,2015,1988-11-27,,jjd900.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
