ORIGINAL,uri
Detroit and Milwaukee Railroad.,/agents/corporate_entities/9140
"Earhart House (Ann Arbor, Mich.)",/agents/corporate_entities/9141
University of Michigan. Office of Administrative Systems.,/agents/corporate_entities/9142
Arcadia & Betsey River Railway Company.,/agents/corporate_entities/9143
"Workmen's Circle/Arbeter Ring, Michigan District.",/agents/corporate_entities/9144
University of Michigan. Institute of Public Policy Studies.,/agents/corporate_entities/9145
"Shrine of the Black Madonna (Detroit, Mich.)",/agents/corporate_entities/9146
Michigan Association of Junior Colleges.,/agents/corporate_entities/9147
Washtenaw County (Mich.). County Clerk.,/agents/corporate_entities/9148
International Association of Chiefs of Police.,/agents/corporate_entities/9149
"State Theatre (Ann Arbor, Mich.)",/agents/corporate_entities/9150
Federal Screw Works,/agents/corporate_entities/9151
"Radical Education Project (Ann Arbor, Mich.).",/agents/corporate_entities/9152
City of Flint (Ship),/agents/corporate_entities/9153
"Pittsfield School (Ann Arbor, Mich.)",/agents/corporate_entities/9154
University of Michigan. Engineering Communications & Marketing.,/agents/corporate_entities/9155
Detroit Renaissance (Firm),/agents/corporate_entities/9156
University Center for Adult Education (Wayne State University-University of Michigan-Eastern Michigan University),/agents/corporate_entities/9157
"Our Saviour Evangelical Lutheran Church (Manistee, Mich.)",/agents/corporate_entities/9158
University of Michigan. Homeopathic Hospital. Training School for Nurses.,/agents/corporate_entities/9159
"Kingsley House (Ann Arbor, Mich.)",/agents/corporate_entities/9160
American Association for the Advancement of Science.,/agents/corporate_entities/9161
Reliance Motor Truck Company,/agents/corporate_entities/9162
University of Michigan. Cancer Center.,/agents/corporate_entities/9163
Defend Affirmative Action Party (University of Michigan),/agents/corporate_entities/9164
University of Michigan. Play Production.,/agents/corporate_entities/9165
National Organization for Women. Michigan Conference.,/agents/corporate_entities/9166
University of Michigan. College of Architecture and Design.,/agents/corporate_entities/9167
National Progressive Republican League.,/agents/corporate_entities/9168
University of Michigan. Dept. of Pharmacy Services.,/agents/corporate_entities/9169
"Genesis Project, Inc.",/agents/corporate_entities/9170
United States. Naval Reserve Officers' Training Corps.,/agents/corporate_entities/9171
