ORIGINAL,uri
"Dawson, Joseph Martin, 1879-",/agents/people/9361
"DeFoe, Murl Holcomb, 1879-",/agents/people/9362
"DeLand, Charles J., 1879-",/agents/people/9363
"Moehlman, Conrad Henry, b. 1879.",/agents/people/9364
"Moore, Joel Roscoe, 1879-",/agents/people/9365
"Otis, Robert Burns, 1879-",/agents/people/9366
"Utley, Stuart Wells, 1879-",/agents/people/9367
"Atwood, Orville E., 1880-",/agents/people/9368
"Barnes, Walter, 1880-",/agents/people/9369
"Colby, Walter F. (Walter Francis), 1880-",/agents/people/9370
"Crane, Robert Treat, b. 1880.",/agents/people/9371
"Cross, Ira Brown, 1880-",/agents/people/9372
"Fehling, Edward William, 1880-",/agents/people/9373
"Fox, George R., 1880-",/agents/people/9374
"Glaser, Otto Charles, 1880-",/agents/people/9375
"Kelso, Robert William, 1880-",/agents/people/9376
"McCrea, Archie Elbert, 1880-",/agents/people/9377
"Moulton, Vern, 1880-",/agents/people/9378
"Okkelberg, Peter Olaus, 1880-",/agents/people/9379
"Pyke, Alfred Joseph, 1880-",/agents/people/9380
"Sellars, Roy Wood, 1880-",/agents/people/9381
"Stoner, Willis Gordon, 1880-",/agents/people/9382
"Turner, Scott, b. 1880.",/agents/people/9383
"Brundage, Ray O., 1881-",/agents/people/9384
"Cochrane, Donald F., 1881-",/agents/people/9385
"Cole, Fay-Cooper, b. 1881.",/agents/people/9386
"Emery, John Garfield, 1881-",/agents/people/9387
"Flynn, Felix H. H., 1881-",/agents/people/9388
"French, Edna Cumming, 1881-",/agents/people/9389
"Fry, Theodore I., 1881-",/agents/people/9390
"Huckle, Thomas O., 1881-",/agents/people/9391
"Huston, Roscoe Burhans, 1881-",/agents/people/9392
"MacDonald, Thomas H. (Thomas Harris), b. 1881.",/agents/people/9393
"Read, Thomas, 1881-",/agents/people/9394
"Reed, Thomas Harrison, b. 1881.",/agents/people/9395
"Rinsey, George, 1881-",/agents/people/9396
"Royce, Frank, 1881-",/agents/people/9397
"Shipler, Guy Emery, 1881-",/agents/people/9398
"Allen, Hugh Pitzer, 1882-",/agents/people/9399
"Crowley, David Henry, 1882-",/agents/people/9400
"Durfee, Edgar N. (Edgar Noble), 1882-",/agents/people/9401
"Jayne, Ira Waite, 1882-",/agents/people/9402
"Larue, George R. (George Roger), b. 1882.",/agents/people/9403
"Ruthven, Alexander Grant, 1882-",/agents/people/9404
"Spaulding, Thomas M. (Thomas Marshall), b. 1882.",/agents/people/9405
"Tomlinson, Owen A., 1882-",/agents/people/9406
"Waite, John Barker, 1882-",/agents/people/9407
"Allen, Shirley Walter, 1883-",/agents/people/9408
"Ballantine, Arthur A. (Arthur Atwood), b. 1883.",/agents/people/9409
"Baxter, Kenneth Stewart, 1883-",/agents/people/9410
"Bose, Sudhindra, 1883-",/agents/people/9411
"Butterfield, George Ernest, 1883-",/agents/people/9412
"Cammerer, Arno B. (Arno Berthold), b. 1883.",/agents/people/9413
"Early, Willa R. (Willa Rhodes), 1883-",/agents/people/9414
"Eaton, Cyrus Stephen, 1883-",/agents/people/9415
"Johnson, Thomas Edward, 1883-",/agents/people/9416
"Keniston, Hayward, b. 1883.",/agents/people/9417
"McKay, Frank D., 1883-",/agents/people/9418
"Oppenheimer, William Henry, 1883-",/agents/people/9419
"Panzner, John, 1883-",/agents/people/9420
"Smith, John W., 1883-",/agents/people/9421
"Uspensky, J. V. (James Victor), b. 1883.",/agents/people/9422
"Bingay, Malcolm Wallace, 1884-",/agents/people/9423
"Brewster, Owen, 1884-",/agents/people/9424
"Eldred, Foss Oscar, 1884-",/agents/people/9425
"Ferguson, Alfred Lynn, b. 1884.",/agents/people/9426
"Gale, Esson McDowell, 1884-",/agents/people/9427
"Gilmore, William Steele, 1884-",/agents/people/9428
"Johnston, Don Porter, 1884-",/agents/people/9429
"Liebold, Ernest G., 1884-",/agents/people/9430
"McClure, Grace, 1884-",/agents/people/9431
"Robbins, Frank Egleston, 1884-",/agents/people/9432
"Slayton, Abbie Cyrena, 1884-",/agents/people/9433
"Stoll, Albert, 1884-",/agents/people/9434
"Aigler, Ralph W. (Ralph William), 1885-",/agents/people/9435
"Carr, Lowell Juilliard, 1885-",/agents/people/9436
"Gillespie, Glenn C.(Glenn Carlton), 1885-",/agents/people/9437
"Gregg, Richard Bartlett, 1885-",/agents/people/9438
"Kelsey, William Kline, 1885-",/agents/people/9439
"Levitas, Mollie, 1885-",/agents/people/9440
"O'Hara, John J., 1885-",/agents/people/9441
"St.-George, Maximilian, b. 1885.",/agents/people/9442
"Tuttle, Frank B., 1885-",/agents/people/9443
"Van den Broek, John Abraham, 1885-",/agents/people/9444
"Vander Werp, Don, 1885-",/agents/people/9445
"Watson, Claude A., 1885-",/agents/people/9446
"Whittemore, Lewis Bliss, 1885-",/agents/people/9447
"Claybourn, John Geronold, 1886-",/agents/people/9448
"Fink, George Rupert, 1886-",/agents/people/9449
"Fritz, Emanuel, 1886-",/agents/people/9450
"Harvey, Samuel Clark, 1886-",/agents/people/9451
"Lipphard, William B. (William Benjamin), b. 1886.",/agents/people/9452
"Matthews, Donald Maxwell, 1886-",/agents/people/9453
"McCord, Carey Pratt, 1886-",/agents/people/9454
"Menefee, Ferdinand Northrup, 1886-",/agents/people/9455
"Moley, Raymond L., 1886-",/agents/people/9456
"Nevue, Wilfred, 1886-",/agents/people/9457
"Putnam, Mark Edson, 1886-",/agents/people/9458
"Sharfman, I. Leo (Isaiah Leo), 1886-",/agents/people/9459
"Slayton, Sarah Augusta, 1886-",/agents/people/9460
"Slusser, Jean Paul, 1886-",/agents/people/9461
"Stidger, William L. (William LeRoy), 1886-",/agents/people/9462
"Swinton, Roy Stanley, 1886-",/agents/people/9463
"Wenger, Christian Nat, 1886-",/agents/people/9464
"Wetherbee, Herbert T., b. 1886.",/agents/people/9465
"White, Lee A., b. 1886.",/agents/people/9466
"Zeder, Fred, 1886-",/agents/people/9467
"Barkdull, Howard L., 1887-",/agents/people/9468
"Beck, Joseph, 1887-",/agents/people/9469
"Deardorff, Neva Ruth, 1887-",/agents/people/9470
"Fagan, Myron C. (Myron Coureval), b. 1887.",/agents/people/9471
"Fajans, Kasimir, 1887-",/agents/people/9472
"Hall, Edward, 1887-",/agents/people/9473
"Lederle, Arthur F., 1887-",/agents/people/9474
"Luscomb, Florence, 1887-",/agents/people/9475
"Sayles, Alexander L., 1887-",/agents/people/9476
"Seabrook, William, b. 1887.",/agents/people/9477
"Sharpe, Edward M., 1887-",/agents/people/9478
"Taylor, I. Paul, 1887-",/agents/people/9479
"Thorpe, Clarence De Witt, 1887-",/agents/people/9480
"Watkins, James K., 1887-",/agents/people/9481
"Abbot, Waldo, 1888-",/agents/people/9482
"Anderson, William P., 1888-",/agents/people/9483
"Bennett, Wells Ira, 1888-",/agents/people/9484
"Bonisteel, Roscoe O. (Roscoe Osmond), b. 1888.",/agents/people/9485
"Bradley, Martin R.,1888-",/agents/people/9486
"Bredvold, Louis I. (Louis Ignatius), b. 1888.",/agents/people/9487
"Crosby, Elizabeth Caroline, 1888-",/agents/people/9488
"Cullis, Hazel, 1888-",/agents/people/9489
"Frost, Joseph D., 1888-",/agents/people/9490
"Hildebrandt, Theophil Henry, 1888-",/agents/people/9491
"Kimball, LeRoy Elwood, 1888-",/agents/people/9492
"Lawrence, David, 1888-",/agents/people/9493
"Leidy, Paul Allen B., 1888-",/agents/people/9494
"Little, Clarence C. (Clarence Cook), b. 1888.",/agents/people/9495
"Martel, Frank Xavier, 1888-",/agents/people/9496
"Metcalf, Woodbridge, 1888-",/agents/people/9497
"Mills, Wilson W., 1888-",/agents/people/9498
"Pratt, Julius William, 1888-",/agents/people/9499
"Weinberger, Harry, 1888-",/agents/people/9500
"Brigham, George Bickford, 1889-",/agents/people/9501
"Carson, John Joseph, 1889-",/agents/people/9502
"Cissel, James H. (James Harlan), 1889-",/agents/people/9503
