old,new
"Kelsey, Francis W. (Francis Willey), b. 1858","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Lindsey, Ben B. (Ben Barr), 1869-1943","Lindsey, Ben B. (Ben Barr), 1869-1943"
"Little, Clarence C. (Clarence Cook), b. 1888","Little, Clarence C. (Clarence Cook), b. 1888"
"Lowden, Frank O. (Frank Orren), 1861-1943","Lowden, Frank O. (Frank Orren), 1861-1943"
"Malcolm, George A. (George Arthur), 1881-1961","Malcolm, George A. (George Arthur), 1881-1961"
"Michener, Earl C. (Earl Cory), 1876-1957","Michener, Earl C. (Earl Cory), 1876-1957"
"Osborn, Chase S. (Chase Salmon), b. 1860","Osborn, Chase S. (Chase Salmon), 1860-1949"
"Sawyer, Walter H. (Walter Hulme), 1861-1931","Sawyer, Walter H. (Walter Hulme), 1861-1931"
"Spaulding, Thomas M. (Thomas Marshall), b. 1882","Spaulding, Thomas M. (Thomas Marshall), 1882-1973"
"Townsend, Charles E. (Charles Elroy), 1856-1924","Townsend, Charles E. (Charles Elroy), 1856-1924"
"Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951","Vandenberg, Arthur H. (Arthur Hendrick), 1884-1951"
"Vaughan, Victor C. (Victor Clarence), 1851-1929","Vaughan, Victor C. (Victor Clarence), 1851-1929"
"Worcester, Dean C. (Dean Conant), 1866-1924","Worcester, Dean C. (Dean Conant), 1866-1924"
"Chase, A. W. (Alvin Wood), 1817-1885","Chase, A. W. (Alvin Wood), 1817-1885"
"Douglas, Silas H. (Silas Hamilton), 1816-1890","Douglas, Silas H. (Silas Hamilton), 1816-1890"
"Baldwin, Henry P. (Henry Porter), 1814-1892","Baldwin, Henry P. (Henry Porter), 1814-1892"
"Joy, James F. (James Frederick), 1810-1896","Joy, James F. (James Frederick), 1810-1896"
"Willits, Mr. (Edwin), 1830-1896","Willits, Mr. (Edwin), 1830-1896"
"Beardsley, Richard K. (Richard King), 1918-1978","Beardsley, Richard K. (Richard King), 1918-1978"
"Beardsley, Richard K. (Richard King), 1918-1978","Beardsley, Richard K. (Richard King), 1918-1978"
"Beardsley, Richard K. (Richard King), 1918-1978","Beardsley, Richard K. (Richard King), 1918-1978"
"Beebe, Lorraine B. (Lorraine Boekeloo)","Beebe, Lorraine B. (Lorraine Boekeloo)"
"Beebe, Lorraine B. (Lorraine Boekeloo)","Beebe, Lorraine B. (Lorraine Boekeloo)"
"Beebe, Lorraine B. (Lorraine Boekeloo)","Beebe, Lorraine B. (Lorraine Boekeloo)"
"Peary, Robert E. (Robert Edwin), 1856-1920","Peary, Robert E. (Robert Edwin), 1856-1920"
"McCloy, Charles H. (Charles Harold), 1886-1959","McCloy, Charles H. (Charles Harold), 1886-1959"
"Belser, Karl J. (Karl Jacob), 1902-1972","Belser, Karl J. (Karl Jacob), 1902-1972"
"Belser, Karl J. (Karl Jacob), 1902-1972","Belser, Karl J. (Karl Jacob), 1902-1972"
"Belser, Karl J. (Karl Jacob), 1902-1972","Belser, Karl J. (Karl Jacob), 1902-1972"
"Hedrick, E. R. (Earle Raymond), 1876-1943","Hedrick, E. R. (Earle Raymond), 1876-1943"
"Hutchins, Harry B. (Harry Burns), 1847-1930","Hutchins, Harry B. (Harry Burns), 1847-1930"
"Bennett, John B. (John Bonifas), 1905-1964","Bennett, John B. (John Bonifas), 1905-1964"
"Bennett, John B. (John Bonifas), 1905-1964","Bennett, John B. (John Bonifas), 1905-1964"
"Bennett, John B. (John Bonifas), 1905-1964","Bennett, John B. (John Bonifas), 1905-1964"
"Bennett, John B. (John Bonifas), 1905-1964","Bennett, John B. (John Bonifas), 1905-1964"
"Dewey, Thomas E. (Thomas Edmund), 1902-1971","Dewey, Thomas E. (Thomas Edmund), 1902-1971"
"Michener, Earl C. (Earl Cory), 1876-1957","Michener, Earl C. (Earl Cory), 1876-1957"
"Fuller, R. Buckminster (Richard Buckminster), 1895-1983","Fuller, R. Buckminster (Richard Buckminster), 1895-1983"
"Kelsey, Francis W. (Francis Willey), b. 1858","Kelsey, Francis W. (Francis Willey), 1858-1927"
"Gilbert, W. S. (William Schwenck), 1836-1911","Gilbert, W. S. (William Schwenck), 1836-1911"
"Gilbert, W. S. (William Schwenck), 1836-1911","Gilbert, W. S. (William Schwenck), 1836-1911"
"Gilbert, W. S. (William Schwenck), 1836-1911","Gilbert, W. S. (William Schwenck), 1836-1911"
"Bentley, Alvin M. (Alvin Morell), 1918-1969","Bentley, Alvin M. (Alvin Morell), 1918-1969"
